設備編號,型式,縣市,行政區,科技執法種類,取締項目,設置地點,座標緯度,座標經度,拍攝方向,速限,轄區分局
1,非線圈數位-雷達,澎湖縣,馬公市,路口多功能執法,闖紅燈、超速、跨越雙白線,中華路與六合路口,23.570023,119.581867,東向西,50,馬公分局
2,非線圈數位-雷達,澎湖縣,馬公市,路口多功能執法,闖紅燈、超速、未依規定兩段左轉、未停讓行人,縣道203線與東衛岔路口,23.568989,119.598471,東向西,50,馬公分局
3,非線圈數位-雷達,澎湖縣,馬公市,路口多功能執法,闖紅燈、超速、未依規定兩段左轉、跨越雙白線,縣道204線與新店路岔路口,23.564965,119.587255,東南向西北,50,馬公分局
4,非線圈數位-雷達,澎湖縣,馬公市,路口多功能執法,闖紅燈、超速、未停讓行人,縣道204縣與澎23號道中正國中旁岔路口,23.55932,119.59861,東南向西北,50,馬公分局
