行政區,設置地點,拍攝方向,取締項目,轄區分局,經度,緯度
名間鄉,名間鄉臺16線0公里,東西雙向,砂石車行駛公告禁駛路段,南投分局,120.710216,23.832108
集集鎮,名間鄉臺16線4.8公里,東西雙向,砂石車行駛公告禁駛路段,集集分局,120.752475,23.828298
