Seq,編號,設置位置,取締項目,測照行向,座標緯度,座標經度
1,1,三民區大昌二路/義華路,車不停讓行人,北側,22.643492,120.332100
2,2,三民區大昌一路/鼎山街,車不停讓行人,東側,22.657144,120.321500
3,3,楠梓區海專路/瑞屏路,車不停讓行人,北側,22.725858,120.311310
4,4,苓雅區三多二路/和平一路,車不停讓行人,西側,22.619653,120.321932
5,5,鳳山區五甲二路/南華路,車不停讓行人,西側,22.600757,120.339543
6,6,前金區青年二路/自強三路,車不停讓行人,東側,22.618594,120.297980
7,7,左營區華夏路/重信路,車不停讓行人,北側,22.684654,120.309813
