Seq,編號,轄區分局,行政區,設置位置,"拍攝
行向",速限
140,,第一分局,東區,東寧路與林森路口,多向,50
141,,"第二分局
第六分局","中西區
南區",南門路與健康路口,多向,50
142,,"第二分局
第六分局","中西區
南區",西門路與健康路口,多向,50
143,,第五分局,北區,開元路與長榮路口,多向,50
144,,第五分局,北區,公園路與公園南路口,多向,50
145,,第五分局,北區,中華北路與觀海橋路口,多向,60
146,,第五分局,北區,和緯路與海安路口,多向,50
147,,歸仁分局,歸仁區,高鐵臺南站U型車道,多向,50
148,,第四分局,安平區,中華西路與永華路口,多向,60
149,,第五分局,北區,開元路與林森路口,多向,50
150,,第一分局,東區,東門路與林森路口,多向,50
151,,永康分局,永康區,近復興路與高速二街口,多向,50
152,,善化分局,新市區,臺一線與新港社大道,雙向,70
153,,善化分局,新市區,臺19甲線(復興路)與西拉雅大道,多向,70
154,,第二分局,中西區,中成路與慈音街路口,多向,50
155,,第五分局,北區,公園路1092巷與公園路1074巷17弄路口,多向,50
156,,第一分局,東區,中華東路二段41巷與富農街二段路口,多向,50
157,,第五分局,北區,西門路和公園南路口,多向,50
158,,第五分局,北區,西門路和和緯路口,多向,50
159,,第五分局,北區,公園路和北安路口,多向,50
160,,第五分局,北區,中華北路和和緯路口,多向,60
161,,第四分局,安平區,安平區永華路二段和建平路口,多向,50
162,,第一分局,東區,東區林森路和崇善路口,多向,50
163,,第一分局,東區,東區東門路和崇學路口,多向,50
164,,歸仁分局,仁德區,中山路與中正路三段路口,多向,50
165,,永康分局,永康區,崑大路與大灣路口,多向,50
166,,永康分局,永康區,中正北路與王行路口,雙向,70
167,,善化分局,新市區,樹谷大道與紫楝路(王甲路)口,雙向,"快車道60
機慢車道40"
168,,善化分局,善化區,中正路66巷與建國路78巷口,多向,50
169,,第二分局,中西區,西門路與民權路口,多向,50
170,,第六分局,南區,金華路與大成路口,多向,50
171,,第五分局,北區,東豐路與長榮路口,多向,50
172,,第五分局,北區,公園路與和緯路,多向,50
173,,第五分局,北區,小東路與勝利路口,多向,50
174,,第五分局,北區,西門路與北安路口,多向,50
175,,永康分局,永康區,復興路與高速一街二段口,多向,50
176,,永康分局,永康區,中正北路與永安路口,多向,50
177,,永康分局,永康區,永安路與仁愛街口,多向,50
178,,永康分局,永康區,中正南(北)路與中正路口,多向,50
179,,第六分局,南區,大成路與國民路口,多向,50
180,,第六分局,南區,金華路與健康路口,多向,50
181,,第六分局,南區,中華西路與新興路口,多向,60
182,,第三分局,安南區,長和路與永安橋路口,多向,60
183,,第三分局,安南區,北安路與怡安路口,多向,50
184,,第三分局,安南區,怡安路與長溪路口,多向,50
185,,第一分局,東區,東門路與自由路口,多向,60
186,,第一分局,東區,大同路與國民路口,多向,60
187,,第五分局,北區,小東路(成大醫院門診大樓前公車停靠站周邊),多向,50
188,,第六分局,南區,西門路(藍晒圖文創園區前公車停靠站周邊),多向,50
189,,歸仁分局,歸仁區,歸仁圓環（與中山路段交織之行人穿越道）,"東、西
雙向",50
190,,歸仁分局,歸仁區,歸仁區站區北路(高鐵臺南站3號出口前),"東、西
雙向",50
191,,第六分局,南區,永華路與夏林路口,多向,50
