﻿﻿編號,科技執法種類,設置地點_範圍,取締項目,舉發件數_115年1至7月,緯度,經度
"1","區間平均速率執法","龍井區向上路6段與中興路口至沙鹿區向上路6段與自立路口","超速、未依規定行駛車道，執法距離1,601.16公尺，速限50公里","0","24.202772","120.568183"
"2","區間平均速率執法","台61線快速道路157.8K至151.6K(南向北)","超速，偵測長度6,169.1公尺，速限90公里(大車80公里)","0","24.218611","120.522889"
"3","區間平均速率執法","台61線快速道路148.1K至156.4K(北向南)","超速，偵測長度8,312公尺，速限90公里(大車80公里)","0","24.3020478","120.5546179"
